k, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 
x0, -27.625, -36.125, -40.3477, -43.4609, -44.9106, -46.3125, -46.9331, -47.5796, -47.8591, -48.1571, -48.2846, -48.4217, -48.4802, -48.5432, -48.57, -48.599, -48.6113, -48.6246, -48.6303, -48.6364, -48.639, -48.6418, -48.643, -48.6443, -48.6448, -48.6454, -48.6457, -48.646, -48.6461, 
x1, -7.25, -16.9531, -23.5156, -26.8467, -30.0723, -31.5107, -33.0135, -33.663, -34.3564, -34.653, -34.972, -35.108, -35.2547, -35.3171, -35.3845, -35.4131, -35.4441, -35.4573, -35.4715, -35.4776, -35.4841, -35.4869, -35.4899, -35.4912, -35.4925, -35.4931, -35.4938, -35.494, -35.4943, 
x2, -10.0625, -12.75, -16.2031, -19.5781, -21.1567, -22.8337, -23.5587, -24.3375, -24.67, -25.0286, -25.1812, -25.346, -25.4161, -25.4918, -25.524, -25.5588, -25.5736, -25.5896, -25.5964, -25.6037, -25.6068, -25.6102, -25.6117, -25.6132, -25.6139, -25.6146, -25.6149, -25.6152, -25.6153, 
x3, -27.25, -34.4375, -40.3281, -42.7959, -45.1777, -46.2216, -47.3051, -47.7733, -48.272, -48.4855, -48.7149, -48.8127, -48.9182, -48.963, -49.0115, -49.0321, -49.0544, -49.0639, -49.0741, -49.0785, -49.0832, -49.0852, -49.0873, -49.0882, -49.0892, -49.0897, -49.0901, -49.0903, -49.0905, 
x4, -0.125, -15.1875, -20.8359, -27.25, -29.9756, -32.9077, -34.1602, -35.5083, -36.0828, -36.7025, -36.9661, -37.2509, -37.372, -37.5029, -37.5585, -37.6186, -37.6442, -37.6718, -37.6836, -37.6962, -37.7016, -37.7075, -37.71, -37.7126, -37.7138, -37.715, -37.7155, -37.7161, -37.7163, 
x5, -3.75, -7.85938, -14.7969, -17.7803, -21.2627, -22.7239, -24.3366, -25.0172, -25.7579, -26.0718, -26.412, -26.5564, -26.7126, -26.779, -26.8507, -26.8812, -26.9142, -26.9282, -26.9434, -26.9498, -26.9568, -26.9597, -26.9629, -26.9643, -26.9658, -26.9664, -26.9671, -26.9674, -26.9677, 
x6, -22.5, -24.0938, -30.3594, -32.4795, -35.1182, -36.1848, -37.3782, -37.8775, -38.4235, -38.6543, -38.9048, -39.0111, -39.1261, -39.1749, -39.2278, -39.2502, -39.2745, -39.2848, -39.296, -39.3007, -39.3059, -39.308, -39.3104, -39.3114, -39.3125, -39.3129, -39.3134, -39.3136, -39.3139, 
x7, -6.25, -16.25, -19.082, -23.2227, -24.7634, -26.605, -27.3498, -28.1859, -28.5344, -28.9168, -29.0781, -29.2535, -29.3278, -29.4083, -29.4425, -29.4794, -29.4951, -29.5121, -29.5194, -29.5272, -29.5305, -29.5341, -29.5356, -29.5372, -29.5379, -29.5387, -29.539, -29.5394, -29.5395, 
x8, -13.75, -19.375, -22.7344, -23.7939, -25.0391, -25.4905, -26.0287, -26.2431, -26.4858, -26.5863, -26.6971, -26.7437, -26.7944, -26.8159, -26.8392, -26.8491, -26.8598, -26.8644, -26.8693, -26.8714, -26.8736, -26.8746, -26.8756, -26.8761, -26.8765, -26.8767, -26.877, -26.877, -26.8772, 
x9, -16.25, -19.6875, -21.0938, -21.9336, -22.1985, -22.5098, -22.6226, -22.7572, -22.8108, -22.8714, -22.8966, -22.9243, -22.9359, -22.9486, -22.954, -22.9598, -22.9623, -22.965, -22.9661, -22.9673, -22.9678, -22.9684, -22.9686, -22.9689, -22.969, -22.9691, -22.9692, -22.9692, -22.9693, 
x10, 1.0362, 0.416955, 0.171943, 0.147582, 0.0770827, 0.0633118, 0.0340909, 0.0282183, 0.0153454, 0.0127813, 0.00698247, 0.00583434, 0.00319385, 0.00267258, 0.00146443, 0.00122622, 0.000672202, 0.000563022, 0.000308709, 0.000258601, 0.000141807, 0.000118797, 6.51466e-05, 5.4577e-05, 2.993e-05, 2.50743e-05, 1.37509e-05, 1.15201e-05, 6.3177e-06, 
