k, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 
x0, -36.25, -41.4062, -44.9658, -46.684, -47.6638, -48.1742, -48.4253, -48.5441, -48.5993, -48.6247, -48.6364, -48.6418, -48.6443, -48.6454, -48.646, -48.6462, 
x1, -19.0625, -26.8945, -30.907, -33.2016, -34.3943, -34.98, -35.2566, -35.3851, -35.4443, -35.4716, -35.4841, -35.4899, -35.4925, -35.4938, -35.4943, -35.4946, 
x2, -15.7031, -20.3125, -22.9913, -24.3666, -25.0347, -25.3476, -25.4924, -25.559, -25.5897, -25.6038, -25.6102, -25.6132, -25.6146, -25.6152, -25.6155, -25.6156, 
x3, -36.5625, -42.9688, -45.8289, -47.4538, -48.3026, -48.7214, -48.9197, -49.012, -49.0546, -49.0742, -49.0832, -49.0873, -49.0892, -49.0901, -49.0905, -49.0907, 
x4, -20.4688, -28.3496, -33.1311, -35.5467, -36.7112, -37.2534, -37.5038, -37.619, -37.672, -37.6963, -37.7075, -37.7126, -37.715, -37.7161, -37.7166, -37.7168, 
x5, -14.3555, -21.0583, -24.2646, -25.7447, -26.4105, -26.7129, -26.851, -26.9144, -26.9435, -26.9568, -26.963, -26.9658, -26.9671, -26.9677, -26.9679, -26.9681, 
x6, -29.1797, -34.7302, -37.2668, -38.4031, -38.9019, -39.1259, -39.2279, -39.2746, -39.296, -39.3059, -39.3104, -39.3125, -39.3134, -39.3139, -39.3141, -39.3142, 
x7, -20.5713, -25.936, -28.0656, -28.8962, -29.2503, -29.408, -29.4795, -29.5122, -29.5272, -29.5341, -29.5372, -29.5387, -29.5394, -29.5397, -29.5398, -29.5399, 
x8, -22.9553, -25.7312, -26.4371, -26.6889, -26.7931, -26.8391, -26.8598, -26.8693, -26.8736, -26.8756, -26.8765, -26.877, -26.8772, -26.8772, -26.8773, -26.8773, 
x9, -21.9888, -22.6828, -22.8593, -22.9222, -22.9483, -22.9598, -22.965, -22.9673, -22.9684, -22.9689, -22.9691, -22.9692, -22.9693, -22.9693, -22.9693, -22.9693, 
x10, 0.559829, 0.183409, 0.104334, 0.0509039, 0.0246916, 0.0120228, 0.00565358, 0.00262069, 0.00120812, 0.000555768, 0.000255465, 0.000117392, 5.39385e-05, 2.47822e-05, 1.13861e-05, 5.23129e-06, 
